id_player,id_team,round,position,cartola_price,cartola_score,cartola_price_update,cartola_score_mean,goal_assistance,scored_goals,saved_kicks,wrong_kicks,crossbar_kicks,wrong_passes,missed_penalties,stolen_ball,difficult_gk_saves,gk_penalty_saves,conceded_goals
87342,284,21,zag,10.7,0.0,0.0,4.34,,,2.0,2.0,,26.0,,24.0,,,
101716,292,21,mei,3.76,0.0,0.0,1.55,,,3.0,3.0,2.0,20.0,,7.0,,,
106002,285,21,mei,2.64,0.0,0.0,2.42,,,1.0,1.0,,19.0,,11.0,,,
85856,280,21,mei,4.86,5.6,1.02,1.96,1.0,1.0,3.0,10.0,,63.0,,48.0,,,
95799,280,21,ata,11.7,1.9,-0.54,2.9,2.0,,11.0,21.0,2.0,160.0,1.0,20.0,,,
104217,292,21,mei,1.93,0.0,0.0,-0.37,,,,,,1.0,,,,,
98529,354,21,mei,0.78,-2.5,-0.12,-0.87,,,,,,20.0,,7.0,,,
82407,373,21,ata,5.49,7.1,0.6,2.94,3.0,1.0,7.0,9.0,2.0,102.0,,16.0,,,
86519,373,21,mei,3.02,0.0,0.0,1.01,1.0,,4.0,2.0,,77.0,,9.0,,,
38133,280,21,gol,4.47,0.0,0.0,0.75,,,,,,55.0,,,4.0,1.0,9.0
101841,290,21,mei,2.26,0.0,0.0,1.04,,,,2.0,,13.0,,14.0,,,
98832,284,21,mei,13.38,14.9,2.51,4.98,1.0,1.0,3.0,12.0,1.0,38.0,,8.0,,,
53148,280,21,ata,7.05,9.1,1.81,3.42,3.0,2.0,7.0,6.0,,28.0,,10.0,,,
90768,280,21,zag,0.86,-0.1,-0.07,-0.34,,,,,,12.0,,8.0,,,
93882,280,21,gol,0.8,1.4,0.01,-0.43,,,,,,114.0,,,8.0,,19.0
73384,354,21,lat,6.21,3.5,-0.56,3.08,2.0,,1.0,5.0,,145.0,,27.0,,,
61141,280,21,zag,4.47,3.5,0.22,2.43,1.0,,1.0,4.0,,34.0,,21.0,,,
86227,280,21,ata,2.49,0.0,0.0,0.28,,,3.0,7.0,,51.0,,6.0,,,
62024,280,21,lat,3.72,0.0,0.0,1.54,,,2.0,13.0,,162.0,,31.0,,,
107677,267,21,mei,3.39,0.0,0.0,2.57,1.0,,,1.0,,11.0,,2.0,,,
91573,276,21,zag,8.23,0.0,0.0,1.86,,,2.0,,,11.0,,1.0,,,
95352,284,21,lat,10.28,0.0,0.0,5.08,,1.0,3.0,6.0,1.0,152.0,,45.0,,,
91702,280,21,ata,2.25,0.0,0.0,0.9,,,,3.0,,10.0,,2.0,,,
50293,275,21,mei,4.28,0.0,-0.18,0.53,,,2.0,1.0,,31.0,,20.0,,,
95794,294,21,mei,1.76,0.0,0.0,0.63,,1.0,,4.0,,21.0,,12.0,,,
93376,280,21,ata,1.69,0.0,0.0,0.7,,,,,,3.0,,1.0,,,
42500,264,21,lat,10.34,1.1,0.02,2.8,,1.0,3.0,4.0,,167.0,,39.0,,,
95466,276,21,lat,5.06,-1.5,-0.49,2.19,2.0,,4.0,6.0,,76.0,,19.0,,,
88423,280,21,lat,9.09,4.4,0.3,2.4,,,2.0,7.0,,192.0,,58.0,,,
72007,280,21,mei,2.21,0.0,0.0,-0.67,,,,1.0,,5.0,,1.0,,,
106822,276,21,mei,1.45,-0.5,-0.12,-0.25,,,1.0,,,2.0,,1.0,,,
60969,292,21,lat,8.41,2.6,-0.74,2.9,3.0,1.0,2.0,9.0,1.0,168.0,,35.0,,,
107554,294,21,lat,2.68,0.0,0.0,2.26,,,1.0,2.0,,44.0,,20.0,,,
104276,266,21,lat,5.21,0.0,0.0,5.14,,,2.0,2.0,,50.0,,28.0,,,
108176,354,21,zag,3.37,0.0,0.0,3.01,1.0,,1.0,,,32.0,,6.0,,,
39656,282,21,mei,5.05,0.0,0.0,2.1,,3.0,4.0,4.0,,58.0,,16.0,,,
95335,280,21,mei,4.19,0.9,-0.35,0.99,1.0,,3.0,7.0,,38.0,,9.0,,,
101832,294,21,mei,2.29,0.0,0.0,1.32,,,3.0,3.0,,49.0,,21.0,,,
105901,265,21,mei,1.14,0.0,0.0,1.4,,,,1.0,,24.0,,8.0,,,
107367,267,21,lat,4.84,0.0,0.0,3.6,1.0,,1.0,2.0,,26.0,,8.0,,,
101885,276,21,ata,3.33,0.0,0.0,1.54,1.0,,,2.0,,4.0,,1.0,,,
105899,277,21,mei,2.33,7.9,1.4,1.78,,1.0,1.0,2.0,,11.0,,4.0,,,
100333,276,21,ata,4.79,0.0,0.0,3.1,,,4.0,6.0,2.0,22.0,,11.0,,,
91888,263,21,lat,3.05,1.1,0.08,1.42,1.0,,3.0,1.0,,207.0,,32.0,,,
71640,292,21,ata,0.81,0.0,0.0,-2.2,,,1.0,,,3.0,,1.0,,,
104504,294,21,mei,1.75,0.0,0.0,0.73,,,,,,13.0,,3.0,,,
94976,290,21,ata,0.75,0.0,0.0,-1.07,,,,,,2.0,,1.0,,,
99253,292,21,zag,3.36,0.0,0.0,3.14,,,,1.0,,30.0,,14.0,,,
91689,285,21,zag,2.32,0.0,0.0,0.9,,,,,,12.0,,4.0,,,
107093,292,21,lat,3.14,0.0,0.0,2.21,2.0,,1.0,1.0,2.0,106.0,,20.0,,,
86410,263,21,lat,10.67,6.2,0.72,4.98,1.0,2.0,4.0,3.0,,113.0,1.0,42.0,,,
105612,266,21,mei,1.92,0.0,0.0,0.35,,,,,,3.0,,1.0,,,
73540,292,21,ata,3.88,0.0,0.0,1.23,1.0,,,1.0,,9.0,,3.0,,,
99789,276,21,ata,6.23,2.1,-1.62,5.6,1.0,6.0,5.0,11.0,1.0,25.0,,6.0,,,
78856,292,21,mei,4.93,0.0,0.0,2.12,,1.0,,4.0,,14.0,,24.0,,,
78577,354,21,mei,2.38,-0.4,-0.46,0.5,,,2.0,1.0,1.0,57.0,,9.0,,,
101600,277,21,zag,2.02,0.0,0.0,2.4,,,,,,15.0,,5.0,,,
95540,290,21,lat,1.43,0.0,0.0,-0.7,,,,,,2.0,,,,,
81121,292,21,mei,4.53,1.0,-0.75,3.15,1.0,1.0,3.0,7.0,,94.0,,43.0,,,
102301,293,21,mei,0.77,0.0,0.0,-0.6,,,,,,1.0,,,,,
86713,294,21,lat,5.04,0.0,0.0,3.33,,,1.0,2.0,1.0,57.0,,24.0,,,
102352,264,21,mei,6.35,-1.6,-1.16,2.95,2.0,1.0,2.0,4.0,,35.0,,7.0,,,
98952,264,21,ata,3.84,-1.5,-0.16,1.99,1.0,2.0,3.0,7.0,,62.0,,14.0,,,
84674,280,21,mei,4.96,0.0,0.0,3.86,1.0,2.0,3.0,6.0,1.0,36.0,,20.0,,,
107092,292,21,ata,2.24,0.0,0.0,0.93,,,,1.0,,5.0,,2.0,,,
107400,354,21,mei,0.83,0.0,0.0,-0.47,,,,,,4.0,,1.0,,,
106076,290,21,lat,1.64,0.0,0.0,1.16,,,,1.0,,5.0,,5.0,,,
106219,293,21,mei,0.72,0.0,0.0,-2.6,,,,,,1.0,,,,,
79042,354,21,zag,7.21,8.5,0.56,3.16,,1.0,1.0,3.0,,70.0,,25.0,,,
82764,263,21,zag,3.83,0.0,0.0,1.04,,,1.0,5.0,,65.0,,11.0,,,
105841,263,21,ata,2.09,0.0,0.0,-5.6,,,,,,1.0,,1.0,,,
78654,354,21,zag,3.15,0.0,0.0,3.38,,1.0,,2.0,,32.0,,6.0,,,
102067,264,21,mei,0.79,0.0,0.0,2.17,1.0,,1.0,1.0,,13.0,,11.0,,,
90590,265,21,gol,3.77,0.0,0.0,7.9,,,,,,2.0,,,6.0,,4.0
97899,265,21,lat,1.3,3.8,0.52,0.5,1.0,,,,,15.0,,1.0,,,
105301,280,21,ata,2.1,0.0,0.0,0.66,,1.0,1.0,3.0,,8.0,,2.0,,,
103724,277,21,mei,1.67,0.0,0.0,0.6,,,,,,4.0,,1.0,,,
