id_team,id_opponent_team,round,week_day,date,has_won,was_draw,team_goals,opponent_team_goals,was_home_team,match_points,championship_score,championship_position
267,354,9,3,2019-06-13,True,False,1,0,True,3,9,15.0
276,275,10,5,2019-07-13,False,True,1,1,True,1,15,9.0
356,314,10,5,2019-07-13,True,False,2,0,True,3,13,12.0
284,267,10,5,2019-07-13,True,False,2,1,True,3,14,11.0
265,277,10,5,2019-07-13,False,False,0,1,True,0,14,10.0
283,263,10,6,2019-07-14,False,True,0,0,True,1,9,17.0
293,285,10,6,2019-07-14,True,False,1,0,True,3,13,13.0
315,282,10,6,2019-07-14,False,False,1,2,True,0,8,18.0
264,341,10,6,2019-07-14,True,False,1,0,True,3,18,5.0
262,290,10,6,2019-07-14,True,False,6,1,True,3,20,3.0
266,354,10,0,2019-07-15,False,True,1,1,True,1,9,15.0
265,283,11,5,2019-07-20,False,True,0,0,True,1,15,11.0
285,284,11,5,2019-07-20,False,True,1,1,True,1,17,7.0
341,293,11,5,2019-07-20,False,False,0,4,True,0,6,19.0
354,275,11,5,2019-07-20,True,False,2,0,True,3,14,13.0
267,266,11,5,2019-07-20,True,False,2,1,True,3,12,15.0
264,262,11,6,2019-07-21,False,True,1,1,True,1,19,5.0
282,356,11,6,2019-07-21,False,True,2,2,True,1,20,4.0
314,290,11,6,2019-07-21,False,True,0,0,True,1,5,20.0
263,277,11,6,2019-07-21,False,False,0,1,True,0,16,9.0
276,315,11,0,2019-07-22,True,False,4,0,True,3,18,6.0
275,267,12,5,2019-07-27,False,True,1,1,True,1,27,2.0
283,293,12,5,2019-07-27,False,False,0,2,True,0,10,16.0
285,354,12,5,2019-07-27,True,False,1,0,True,3,20,7.0
266,276,12,5,2019-07-27,False,False,1,2,True,0,9,18.0
290,282,12,6,2019-07-28,False,True,0,0,True,1,17,9.0
315,265,12,6,2019-07-28,False,True,0,0,True,1,9,17.0
356,264,12,6,2019-07-28,False,False,1,3,True,0,14,14.0
262,263,12,6,2019-07-28,True,False,3,2,True,3,24,3.0
277,314,12,6,2019-07-28,True,False,3,1,True,3,29,1.0
341,284,12,0,2019-07-29,False,True,0,0,True,1,7,19.0
354,356,13,5,2019-08-03,True,False,2,1,True,3,17,12.0
266,285,13,5,2019-08-03,True,False,2,1,True,3,12,16.0
267,341,13,6,2019-08-04,False,True,0,0,True,1,14,14.0
264,275,13,6,2019-08-04,False,True,1,1,True,1,23,6.0
